language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
khal1275,t,s,-,h,-,-,-,-,E,-,-,-,-,-,b,-,-,-,E,-,-,-
thul1246,-,-,-,p,-,-,-,-,e,-,-,-,-,-,l,-,e,l,e,-,-,m
kulu1253,t,S,u,p,-,k,h,-,a,-,s,-,-,-,w,-,-,-,a,-,-,-
bahi1252,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,E,-,-,m
limb1266,-,-,-,p,-,-,-,-,a,-,m,-,-,-,p,-,-,-,a,-,-,m
chep1245,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,7
oldb1235,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,a,h
nucl1310,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-
lash1243,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-
zaiw1241,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,m
maru1249,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-
pela1242,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
xian1249,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,m
acha1249,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,m
lisu1250,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-
jing1260,-,-,-,p,-,-,-,-,-,-,-,-,-,-,h,-,-,-,a,-,-,-
drun1238,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-
haka1240,-,-,-,p,-,-,-,-,a,a,n,-,-,-,p,-,-,-,a,-,a,n
ukhr1238,-,-,-,k,-,-,-,-,3,-,N,-,-,3,v,-,-,-,a,-,-,-
karb1241,T,-,-,h,-,t,s,-,u,-,n,-,-,-,g,N,k,r,e,n,g,N
horp1240,-,-,-,g,-,-,-,-,E,-,-,-,-,-,b,-,-,-,3,-,-,-
horp1240,-,-,-,b,-,-,-,-,3,-,-,-,-,-,b,-,-,-,e,-,-,-
eree1240,-,-,-,X,-,-,N,y,i,-,-,-,-,-,-,-,-,-,i,-,-,-
japh1234,-,-,-,-,-,-,-,-,-,-,n,-,-,-,b,-,-,-,a,-,-,-
situ1238,-,-,-,k,-,-,-,-,3,-,m,-,-,-,b,-,-,-,o,-,-,-
tang1334,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,y,i,-,-,-
byan1241,-,-,-,l,-,-,-,-,a,-,-,-,-,-,k,-,-,t,E,-,-,-
rong1264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,3,-,-,s
gahr1239,t,-,-,S,-,-,-,-,a,-,-,-,-,-,p,-,-,n,a,-,-,-
gahr1239,-,-,-,S,-,-,-,-,u,-,-,-,-,-,k,-,-,n,a,-,-,-
clas1254,-,-,-,s,-,-,r,-,a,-,-,-,-,-,b,-,-,-,-,-,-,-
amdo1237,-,-,-,S,-,-,-,-,a,-,-,-,-,-,p,-,-,w,3,-,-,-
amdo1237,-,-,-,S,-,-,-,-,a,-,-,-,-,-,w,-,-,-,3,-,-,-
utsa1239,t,-,-,S,-,-,-,-,3,-,-,-,-,-,p,-,-,-,u,-,-,-
kham1282,-,-,-,s,-,-,-,-,o,-,u,-,-,-,x,-,-,-,u,-,-,-
kham1282,-,-,-,s,-,-,-,-,o,-,-,-,-,-,-,-,-,-,u,-,-,-
tsha1245,-,-,-,b,-,-,-,-,a,-,-,-,-,-,l,-,-,-,u,-,-,-
idum1241,-,-,-,b,-,-,-,-,o,-,-,-,-,-,-,-,-,-,o,-,-,-
diga1241,-,-,-,b,-,-,-,-,o,-,-,-,-,-,-,-,-,-,o,-,-,-
boka1249,-,-,-,b,e,t,S,-,o,-,-,-,-,-,-,-,-,-,o,-,-,r
garo1247,-,-,-,d,-,-,-,-,i,-,N,s,r,i,s,-,-,r,i,-,-,-
rabh1238,-,-,-,p,-,-,-,-,a,-,-,-,-,-,-,-,-,-,a,-,-,-
guan1279,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,k
hakk1236,-,-,-,p,-,-,h,-,-,-,-,-,-,-,-,-,-,-,o,-,-,7
hakk1236,-,-,-,p,-,-,h,-,o,-,-,-,-,-,-,-,-,-,o,-,-,k
beij1235,-,-,-,p,-,-,-,-,o,-,-,-,-,-,-,-,o,-,o,-,-,-
chao1238,-,-,-,p,-,-,-,-,o,-,-,-,-,-,-,-,-,-,o,-,-,7
chao1239,-,-,-,p,-,-,-,-,o,-,-,-,-,-,-,-,-,-,o,-,-,7
oldc1244,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,r,7
