language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
ngab1239,N,u,b,-,-,-,-,-,r,-,-,-,-,u,-
bugl1243,-,-,m,-,-,-,-,-,n,-,-,-,-,u,-
brib1243,-,-,b,-,-,-,-,u,L,-,-,-,u,u,-
cabe1245,-,-,b,-,-,-,-,u,L,i,i,t,u,u,-
teri1250,-,-,p,-,-,-,-,-,L,-,-,-,u,u,N
male1297,-,-,p,-,-,-,-,u,r,-,-,-,-,u,-
sanb1242,-,-,p,-,-,-,-,u,r,-,-,-,-,u,-
rama1270,-,-,p,-,-,-,-,-,l,-,-,-,-,u,N
mala1522,-,-,b,-,-,-,-,3,n,-,-,-,-,-,-
pech1241,-,-,t,-,-,-,-,o,k,-,-,-,o,o,-
bari1297,-,i,b,-,-,-,-,u,d,-,-,-,-,i,-
maya1285,-,-,w,a,-,-,-,-,n,-,-,-,-,-,-
ulwa1239,-,-,k,a,-,-,-,u,h,-,-,-,-,-,-
misk1235,-,-,y,a,m,h,p,u,s,-,-,-,-,-,-
