language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
boru1252,b,-,-,-,-,a,a,x,-,-,-,k,-,a,-,-,-,-,-,a,N
chim1309,b,r,i,d,Z,e,-,-,-,-,-,7,-,e,-,-,-,-,-,-,-
dora1242,p,-,-,-,-,a,-,-,-,-,-,k,-,a,-,-,-,-,-,-,-
ngab1239,b,-,-,-,-,o,-,-,-,-,-,k,-,o,-,-,-,-,-,-,-
bugl1243,b,-,-,-,-,a,-,-,-,-,-,g,-,a,-,-,-,-,-,-,-
brib1243,t,-,-,-,-,-,-,-,-,-,-,k,-,i,-,-,-,-,-,-,-
cabe1245,t,-,-,-,-,-,-,-,-,-,-,k,-,i,-,-,-,-,-,-,-
teri1250,b,-,-,-,-,-,-,-,-,-,-,k,-,i,-,-,-,-,-,i,N
male1297,p,-,-,-,-,a,-,-,-,-,-,k,-,e,-,k,i,r,-,i,-
sanb1242,p,-,-,-,-,a,-,-,-,-,-,k,-,e,-,-,-,-,-,-,-
rama1270,-,-,-,-,-,-,-,-,-,-,-,k,-,u,n,k,u,n,b,i,-
cogu1240,m,-,-,-,-,a,-,k,-,-,-,k,-,e,-,-,-,-,u,a,-
mala1522,m,-,-,-,-,a,-,-,-,-,-,k,-,e,-,g,-,-,w,a,-
arhu1242,m,-,-,-,-,a,7,k,-,-,-,k,-,e,-,i,-,-,w,a,-
chib1270,m,-,-,-,-,3,-,h,3,-,-,k,-,a,-,-,-,-,-,-,-
bari1297,-,-,-,-,-,a,-,s,a,n,i,k,d,a,-,-,-,-,-,i,-
cent2150,b,-,a,-,-,a,-,-,-,-,-,k,-,a,-,y,-,-,-,a,-
maya1285,-,-,-,-,-,a,-,r,u,n,-,k,-,a,-,-,-,-,-,-,-
ulwa1239,-,-,-,-,-,a,-,r,u,n,-,k,-,a,-,-,-,-,-,-,-
caca1247,b,-,u,t,-,a,-,r,u,-,-,-,-,-,-,-,-,-,-,-,-
misk1235,w,-,-,-,-,a,-,l,-,-,-,h,w,a,-,-,-,-,-,-,l
lenc1242,-,-,-,-,-,-,-,s,-,-,-,-,-,a,-,-,-,-,-,-,-
lenc1243,-,-,-,-,-,a,-,r,i,-,-,-,-,a,-,-,-,-,-,-,-
pech1241,-,-,-,-,-,-,-,-,-,-,-,k,-,a,-,-,-,-,-,a,h
