language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
oroq1238,-,-,-,-,i,-,r,-,-,-,-,k,-,-,3,-,x,-,i,n
hail1248,-,-,-,-,i,-,r,-,-,-,-,k,-,-,3,-,k,-,i,n
negi1245,-,-,-,-,i,-,t,-,-,-,-,k,-,-,3,-,k,-,i,n
negi1245,-,-,-,-,i,-,s,-,-,-,-,k,-,-,3,-,k,-,i,n
negi1245,-,-,-,-,i,-,-,-,-,-,-,x,-,-,3,-,x,-,i,n
negi1245,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,x,-,i,n
negi1245,-,-,-,-,i,-,-,-,-,-,-,x,-,-,i,-,x,-,i,n
hiss1234,o,o,m,-,a,-,-,-,-,-,-,k,-,t,a,-,-,-,-,-
hiss1234,-,o,m,-,a,-,-,-,-,-,-,k,-,t,a,-,-,-,-,-
hiss1234,-,o,m,-,a,-,-,-,-,-,-,k,-,t,a,-,-,-,-,-
ilim1234,-,o,m,-,a,-,-,-,-,-,-,k,-,t,a,-,-,-,-,-
nort3334,-,o,m,-,a,-,-,-,-,-,-,k,-,t,a,-,-,-,-,-
solo1263,-,-,-,-,i,-,-,-,-,-,-,k,-,-,-,-,-,-,i,N
kuro1242,-,-,-,-,i,-,t,-,-,-,-,k,-,-,3,-,k,y,i,n
nana1257,-,-,s,y,i,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-
nana1257,-,-,s,-,i,-,-,-,-,-,-,k,-,-,-,-,w,-,u,n
ulch1241,-,-,s,-,i,-,t,-,-,-,-,S,-,-,3,-,-,-,u,-
orok1265,-,-,S,-,i,-,-,-,-,-,-,t,-,-,3,-,-,-,u,-
oroc1248,-,-,-,-,i,-,-,-,-,-,-,k,-,-,3,-,-,-,i,-
udih1248,-,-,-,-,i,-,-,-,-,-,-,m,-,-,3,-,x,y,i,-
kile1243,-,-,-,-,i,-,r,-,-,-,-,k,-,h,i,-,k,h,i,n
even1260,-,-,-,-,a,a,X,n,N,a,a,X,m,t,a,a,X,-,-,-
even1260,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,e,y,-,i,-
manc1252,-,-,-,-,i,-,t,-,-,-,-,S,-,-,3,-,-,-,-,-
jurc1239,-,-,-,-,i,-,t,-,-,-,-,S,-,-,3,-,-,-,-,-
xibe1242,-,-,-,-,i,-,t,-,-,-,-,S,-,h,3,-,-,-,-,-
