language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
oroq1238,-,-,-,k,-,u,-,-,-,-,l,-,-,-,-,-,-,-,e,n,-
hail1248,-,-,-,k,-,u,-,-,-,-,l,-,-,-,-,-,-,-,i,n,-
negi1245,-,-,-,-,-,o,-,-,-,-,l,-,-,-,-,-,-,g,o,n,-
negi1245,-,-,-,-,-,o,-,-,-,-,l,g,o,-,-,m,-,-,a,-,-
negi1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,i,x,i,-,-
hiss1234,-,-,-,k,-,u,-,-,-,-,l,-,-,-,-,-,-,-,i,n,-
hiss1234,-,-,-,k,-,u,-,-,-,-,l,-,-,-,-,-,-,-,i,n,-
hiss1234,-,-,-,k,-,u,-,-,-,-,l,-,-,-,-,-,-,-,i,n,-
ilim1234,-,-,-,k,-,u,-,-,-,-,l,-,-,-,-,-,-,-,i,n,-
nort3334,-,-,-,k,-,u,-,-,-,-,l,-,-,-,-,-,-,-,i,n,-
solo1263,-,-,-,x,-,u,-,-,-,-,l,-,-,-,-,-,-,-,E,N,-
kuro1242,d,Z,a,b,-,-,d,-,-,-,Z,-,-,-,-,-,-,-,a,n,-
kuro1242,-,-,-,m,-,u,y,k,-,-,y,-,-,-,-,-,-,-,i,-,-
nana1257,-,-,-,m,-,u,i,k,-,-,y,-,-,-,-,-,-,-,i,-,-
nana1257,-,-,-,m,w,u,y,k,-,-,y,-,-,-,-,-,-,-,i,-,-
ulch1241,-,-,-,m,-,u,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-
orok1265,-,-,-,m,-,u,i,x,-,-,-,-,-,-,-,-,-,-,i,-,-
oroc1248,-,-,-,m,-,y,i,k,-,-,y,-,-,-,-,-,-,-,i,-,-
udih1248,-,-,-,-,-,-,-,k,u,l,y,-,-,-,-,-,-,-,i,x,a
kile1243,-,-,-,m,-,3,-,k,-,-,h,-,-,-,-,-,-,-,i,-,-
even1260,-,-,-,-,-,-,-,-,-,-,d,Z,a,a,X,b,d,a,a,X,-
manc1252,-,-,-,m,-,3,i,x,-,-,-,-,-,-,-,-,-,-,3,-,-
jurc1239,-,-,-,m,-,3,i,x,-,-,-,-,-,-,-,-,-,-,3,-,-
xibe1242,-,-,-,m,-,3,i,x,-,-,-,-,-,-,-,-,-,-,-,-,-
