language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
oroq1238,-,-,t,S,3,-,x,-,-,-,3,-,r,-,-,-,-,-,-,-,-,-
negi1245,-,-,-,x,u,-,k,-,-,-,u,-,s,-,-,-,-,-,i,n,-,-
negi1245,-,-,-,x,u,-,-,-,-,-,-,-,s,-,-,-,-,-,i,n,-,-
negi1245,-,-,-,x,u,-,x,-,w,-,u,-,s,-,-,-,-,-,i,n,-,-
negi1245,-,-,-,x,u,-,x,-,w,-,u,k,s,-,-,-,-,-,i,n,-,-
hiss1234,-,-,-,h,3,-,k,-,-,-,3,-,s,-,-,-,-,-,3,n,-,-
solo1263,-,-,-,x,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,t,3
kuro1242,-,-,-,k,3,-,g,-,-,-,3,-,r,i,g,i,u,k,3,n,-,-
nana1257,-,-,-,k,3,-,t,-,S,-,3,-,r,y,-,i,w,-,3,n,-,-
nana1257,-,-,-,k,3,n,d,-,-,-,3,-,l,d,-,-,-,-,3,-,-,-
ulch1241,-,-,-,x,3,-,-,-,-,-,-,-,r,-,-,-,-,-,3,n,-,-
orok1265,m,-,o,k,T,-,t,-,-,-,-,-,S,-,-,-,-,-,i,-,-,-
orok1265,-,-,-,x,3,-,r,-,-,-,3,-,l,-,-,-,-,-,i,-,-,-
oroc1248,-,-,-,k,3,n,d,-,-,-,3,-,l,y,-,-,-,-,i,-,-,-
udih1248,-,-,-,x,u,-,g,i,w,-,a,-,n,-,-,-,-,-,a,-,-,-
even1260,m,u,u,X,-,-,t,-,S,u,u,-,X,-,-,-,-,-,-,l,-,-
manc1252,-,-,t,-,o,-,-,-,-,-,-,-,r,X,-,-,-,-,o,-,-,-
xibe1242,-,-,t,h,E,-,-,-,-,-,-,-,r,x,-,-,-,-,u,-,-,-
